,speed_kmh,steering,gear
0,34.42161,-0.45720026,6.705539e-05
1,144.81308,0.9981903,-5.580468e-05
2,220.73549,-0.6976822,-4.9322676e-05
3,163.53488,-0.0033075106,0.99997556
