current_zone_idx,total_frames,avg_speed,std_speed,crash_count,airborne_count,backwards_count,heavy_drift_count,avg_drift_ratio,avg_wheels_ground,crash_rate,airborne_rate,backwards_rate
84.0,30,129.2415,11.770669,0,0,0,0,0.013689538,4.0,0.0,0.0,0.0
85.0,27,132.74376,11.748845,0,0,0,0,0.013500213,4.0,0.0,0.0,0.0
86.0,34,136.49416,13.231656,0,0,0,0,0.01267416,4.0,0.0,0.0,0.0
87.0,25,134.89967,9.609715,0,0,0,0,0.012063251,4.0,0.0,0.0,0.0
88.0,29,140.18602,13.233522,0,0,0,0,0.012230194,4.0,0.0,0.0,0.0
89.0,28,139.27812,10.876774,0,0,0,0,0.013861591,4.0,0.0,0.0,0.0
90.0,24,146.21104,13.821954,0,0,0,0,0.008411315,4.0,0.0,0.0,0.0
91.0,22,142.05919,10.085155,0,0,0,0,0.015484577,4.0,0.0,0.0,0.0
92.0,29,149.36836,13.136636,0,0,0,0,0.007644637,4.0,0.0,0.0,0.0
93.0,28,148.21568,10.483948,0,0,0,0,0.012281134,4.0,0.0,0.0,0.0
94.0,30,151.24994,12.426089,0,0,0,0,0.012305586,4.0,0.0,0.0,0.0
95.0,14,153.12796,12.226368,0,0,0,0,0.008850613,4.0,0.0,0.0,0.0
96.0,31,154.70096,12.4129305,0,0,0,0,0.01258585,4.0,0.0,0.0,0.0
97.0,28,156.36543,10.547638,0,0,0,0,0.012481304,4.0,0.0,0.0,0.0
98.0,14,159.0383,13.33993,0,0,0,0,0.009818488,4.0,0.0,0.0,0.0
99.0,35,159.6426,10.492784,0,0,0,0,0.011660993,4.0,0.0,0.0,0.0
100.0,16,162.49686,11.458738,0,0,0,0,0.01298128,4.0,0.0,0.0,0.0
101.0,30,163.0368,10.183769,0,0,0,0,0.011979715,4.0,0.0,0.0,0.0
102.0,16,166.51718,12.358335,0,0,0,0,0.013372885,4.0,0.0,0.0,0.0
103.0,11,166.10419,11.331812,0,0,0,0,0.013743996,4.0,0.0,0.0,0.0
104.0,43,168.2982,10.243303,0,0,0,0,0.013803998,4.0,0.0,0.0,0.0
105.0,14,172.36386,10.876605,0,0,0,0,0.013004825,4.0,0.0,0.0,0.0
106.0,17,170.22354,9.738541,0,0,0,0,0.011433624,4.0,0.0,0.0,0.0
107.0,30,173.69447,10.809409,0,0,0,0,0.013467628,4.0,0.0,0.0,0.0
108.0,9,169.84448,5.905917,0,0,0,0,0.010833433,4.0,0.0,0.0,0.0
109.0,39,176.54134,11.198058,0,0,0,0,0.011875131,4.0,0.0,0.0,0.0
110.0,11,176.63739,8.335425,0,0,0,0,0.0083967475,4.0,0.0,0.0,0.0
111.0,36,180.0389,11.254787,0,0,0,0,0.012829802,4.0,0.0,0.0,0.0
112.0,3,173.42091,7.584649,0,0,0,0,0.009605694,4.0,0.0,0.0,0.0
113.0,10,181.39362,12.579988,0,0,0,0,0.0114489235,4.0,0.0,0.0,0.0
114.0,38,181.28911,10.67937,0,0,0,0,0.014360226,4.0,0.0,0.0,0.0
115.0,30,183.96518,10.519578,0,0,0,0,0.017726151,4.0,0.0,0.0,0.0
116.0,1,207.38101,0.0,0,0,0,0,0.007828371,4.0,0.0,0.0,0.0
117.0,23,184.75742,11.289302,0,0,0,0,0.012632757,4.0,0.0,0.0,0.0
118.0,11,187.65517,10.976407,0,0,0,0,0.016165953,4.0,0.0,0.0,0.0
119.0,38,187.31906,11.853106,0,0,0,0,0.015959134,4.0,0.0,0.0,0.0
120.0,1,189.54681,0.0,0,0,0,0,0.011102099,4.0,0.0,0.0,0.0
121.0,42,191.07225,11.994342,0,0,0,0,0.015186968,4.0,0.0,0.0,0.0
122.0,2,191.45119,3.1075754,0,0,0,0,0.012236407,4.0,0.0,0.0,0.0
123.0,25,193.50023,12.051227,0,0,0,0,0.016916724,4.0,0.0,0.0,0.0
124.0,1,207.73767,0.0,0,0,0,0,0.0014638739,4.0,0.0,0.0,0.0
125.0,42,193.78117,11.421428,0,0,0,0,0.015853032,4.0,0.0,0.0,0.0
126.0,17,195.60477,12.956704,0,0,0,0,0.013430055,3.9411764,0.0,0.0,0.0
128.0,34,196.91167,11.147802,0,0,0,0,0.014775701,3.8529413,0.0,0.0,0.0
129.0,15,200.70126,12.004006,0,0,0,0,0.014030723,3.9333334,0.0,0.0,0.0
131.0,33,198.92572,11.462533,0,0,0,0,0.01771578,3.5454545,0.0,0.0,0.0
132.0,25,196.20357,24.651846,0,0,0,1,0.040233985,3.56,0.0,0.0,0.0
133.0,14,192.33907,31.946701,0,0,0,1,0.06386294,3.4285715,0.0,0.0,0.0
134.0,4,213.56332,8.731486,0,0,0,0,0.024421014,4.0,0.0,0.0,0.0
135.0,25,197.27806,24.386326,0,0,0,1,0.038708948,3.36,0.0,0.0,0.0
136.0,28,196.36337,31.209463,0,0,0,0,0.056172658,3.2857144,0.0,0.0,0.0
138.0,31,200.88112,22.388733,0,2,0,0,0.034259547,3.1290324,0.0,6.451612903225806,0.0
139.0,13,201.35133,31.062815,0,0,0,0,0.048164487,3.5384614,0.0,0.0,0.0
140.0,5,216.74825,8.7294035,0,0,0,0,0.01867946,4.0,0.0,0.0,0.0
141.0,28,200.97346,22.002373,0,0,0,0,0.032108337,3.2857144,0.0,0.0,0.0
142.0,25,205.03062,22.821625,0,0,0,0,0.031806618,3.12,0.0,0.0,0.0
143.0,3,211.23656,6.332615,0,0,0,0,0.02057427,3.6666667,0.0,0.0,0.0
144.0,29,202.51825,29.318478,0,0,0,0,0.038343493,3.4482758,0.0,0.0,0.0
145.0,1,219.24153,0.0,0,0,0,0,0.015486039,4.0,0.0,0.0,0.0
146.0,35,206.728,20.649767,0,0,0,0,0.027081784,3.2571428,0.0,0.0,0.0
147.0,4,222.21771,8.204835,0,0,0,0,0.025145158,4.0,0.0,0.0,0.0
148.0,32,202.95648,27.3507,0,2,0,0,0.04005582,2.78125,0.0,6.25,0.0
149.0,2,227.26437,14.066554,0,0,0,0,0.027160302,4.0,0.0,0.0,0.0
150.0,11,218.7023,9.0849085,0,0,0,0,0.020298403,3.6363637,0.0,0.0,0.0
151.0,35,204.29604,27.31367,0,1,0,0,0.04350681,3.0285714,0.0,2.857142857142857,0.0
152.0,11,211.33511,38.88374,0,1,0,0,0.056200396,3.3636363,0.0,9.090909090909092,0.0
153.0,6,217.58922,12.0851145,0,0,0,0,0.029375376,3.8333333,0.0,0.0,0.0
154.0,28,206.81377,23.472975,0,2,0,0,0.038805753,3.0357144,0.0,7.142857142857142,0.0
155.0,6,231.02838,6.4682384,0,0,0,0,0.028241849,4.0,0.0,0.0,0.0
156.0,34,205.43173,29.97363,0,4,0,0,0.05000169,2.8235295,0.0,11.76470588235294,0.0
157.0,2,211.72128,3.0678265,0,0,0,0,0.0055526276,4.0,0.0,0.0,0.0
158.0,36,208.78436,31.130287,0,1,0,0,0.046668883,3.3333333,0.0,2.7777777777777777,0.0
159.0,2,232.57721,13.504664,0,0,0,0,0.029747058,4.0,0.0,0.0,0.0
160.0,19,211.66512,31.586018,0,0,0,0,0.039550316,3.7368422,0.0,0.0,0.0
161.0,16,208.66292,34.67401,0,1,0,0,0.046976436,3.1875,0.0,6.25,0.0
162.0,27,203.0648,35.035866,0,0,0,0,0.032768473,3.4814816,0.0,0.0,0.0
163.0,16,218.28212,14.326515,0,0,0,0,0.032019354,3.75,0.0,0.0,0.0
164.0,9,207.98164,46.77723,0,0,0,0,0.04016604,3.4444444,0.0,0.0,0.0
165.0,19,208.28325,30.786495,0,0,0,0,0.029710261,3.6842105,0.0,0.0,0.0
166.0,20,211.927,32.703266,0,0,0,0,0.032921363,3.65,0.0,0.0,0.0
167.0,14,206.17966,35.01112,0,0,0,0,0.035580255,3.5714285,0.0,0.0,0.0
168.0,24,210.50554,28.654339,0,0,0,0,0.033121336,3.75,0.0,0.0,0.0
169.0,14,210.65552,36.731434,0,0,0,0,0.028373834,3.7857144,0.0,0.0,0.0
170.0,21,207.39297,28.074472,0,0,0,0,0.037487503,3.8095238,0.0,0.0,0.0
171.0,10,223.50916,13.156665,0,0,0,0,0.043422796,3.9,0.0,0.0,0.0
172.0,27,202.7471,33.984417,0,0,0,0,0.036326323,3.7407408,0.0,0.0,0.0
173.0,22,206.01958,27.393635,0,0,0,0,0.045982745,3.8636363,0.0,0.0,0.0
174.0,11,223.59335,10.971798,0,0,0,0,0.045114342,4.0,0.0,0.0,0.0
175.0,22,205.43755,26.564499,0,0,0,0,0.03872566,3.6818182,0.0,0.0,0.0
176.0,19,208.40341,31.625952,0,0,0,0,0.038720828,3.8947368,0.0,0.0,0.0
177.0,15,211.32747,13.953426,0,0,0,0,0.041956756,3.7333333,0.0,0.0,0.0
178.0,25,201.01157,33.78086,0,0,0,0,0.029931895,3.76,0.0,0.0,0.0
179.0,17,212.48174,13.180901,0,0,0,0,0.056860987,3.8235295,0.0,0.0,0.0
180.0,21,197.05212,35.184593,0,0,0,0,0.036462978,3.8095238,0.0,0.0,0.0
181.0,21,212.15182,14.491491,0,0,0,0,0.04528025,3.9047618,0.0,0.0,0.0
182.0,19,207.12935,29.130743,0,0,0,0,0.037320446,3.8947368,0.0,0.0,0.0
183.0,19,197.7699,27.447865,0,0,0,0,0.049276676,3.8421052,0.0,0.0,0.0
184.0,24,215.62349,13.136864,0,0,0,0,0.041383192,3.9166667,0.0,0.0,0.0
185.0,23,196.00096,33.75208,0,0,0,0,0.032115575,3.6956522,0.0,0.0,0.0
186.0,16,194.248,29.603912,0,0,0,0,0.04007389,3.75,0.0,0.0,0.0
187.0,26,213.59473,12.383997,0,0,0,0,0.031836327,3.8846154,0.0,0.0,0.0
188.0,12,188.51202,30.685345,0,0,0,0,0.04456489,3.75,0.0,0.0,0.0
189.0,27,207.52,25.144188,0,0,0,0,0.028748052,3.9629629,0.0,0.0,0.0
190.0,16,196.69647,31.9177,0,0,0,0,0.03389679,4.0,0.0,0.0,0.0
191.0,25,204.4256,24.544369,0,0,0,0,0.021350866,4.0,0.0,0.0,0.0
192.0,19,202.28674,32.36323,0,0,0,0,0.026519991,3.9473684,0.0,0.0,0.0
193.0,8,187.9902,37.35585,0,0,0,0,0.016643146,3.875,0.0,0.0,0.0
194.0,37,206.81944,24.334248,0,0,0,0,0.017136175,3.9729729,0.0,0.0,0.0
195.0,14,193.73361,30.971334,0,0,0,0,0.01376943,4.0,0.0,0.0,0.0
196.0,12,192.31355,33.689438,0,0,0,0,0.009488563,4.0,0.0,0.0,0.0
197.0,40,209.50642,22.882818,0,0,0,0,0.010922076,3.975,0.0,0.0,0.0
198.0,9,189.21046,37.337646,0,0,0,0,0.008201746,4.0,0.0,0.0,0.0
199.0,8,179.87749,37.584454,0,0,0,0,0.007975901,4.0,0.0,0.0,0.0
200.0,32,209.44771,24.550604,0,0,0,0,0.008675268,3.96875,0.0,0.0,0.0
201.0,8,181.53802,39.030922,0,0,0,0,0.007387477,4.0,0.0,0.0,0.0
202.0,27,206.19244,25.356058,0,0,0,0,0.0073314253,4.0,0.0,0.0,0.0
203.0,10,188.18059,37.453114,0,0,0,0,0.005640308,4.0,0.0,0.0,0.0
204.0,21,205.67267,28.879725,0,0,0,0,0.0056068916,4.0,0.0,0.0,0.0
205.0,16,195.91084,31.403318,0,0,0,0,0.0041169478,4.0,0.0,0.0,0.0
206.0,17,209.6435,32.728695,0,0,0,0,0.0044852193,4.0,0.0,0.0,0.0
207.0,19,199.62724,31.517107,0,0,0,0,0.003991797,4.0,0.0,0.0,0.0
208.0,26,208.33473,27.800602,0,0,0,0,0.003461938,3.8846154,0.0,0.0,0.0
209.0,7,182.9224,42.487675,0,0,0,0,0.0045171566,4.0,0.0,0.0,0.0
210.0,12,198.69243,34.94887,0,0,0,0,0.0042752107,4.0,0.0,0.0,0.0
211.0,11,190.98744,36.775097,0,0,0,0,0.0028595524,3.8181818,0.0,0.0,0.0
212.0,44,212.19394,23.150322,0,0,0,0,0.002676537,3.9772727,0.0,0.0,0.0
213.0,5,171.94135,46.159634,0,0,0,0,0.0062647485,4.0,0.0,0.0,0.0
214.0,6,192.29474,50.26678,0,0,0,0,0.0045114947,4.0,0.0,0.0,0.0
215.0,23,199.7022,26.92673,0,0,0,0,0.0023598608,3.9565217,0.0,0.0,0.0
216.0,25,212.10727,29.263868,0,0,0,0,0.0022250153,3.88,0.0,0.0,0.0
217.0,5,174.0314,46.320923,0,0,0,0,0.004975174,4.0,0.0,0.0,0.0
218.0,20,202.88197,28.74474,0,0,0,0,0.0018105101,4.0,0.0,0.0,0.0
219.0,13,202.16238,35.43227,0,0,0,0,0.003233818,3.8461537,0.0,0.0,0.0
220.0,13,214.97324,14.027271,0,0,0,0,0.0012579747,3.9230769,0.0,0.0,0.0
221.0,7,186.01584,42.25736,0,0,0,0,0.0013937816,4.0,0.0,0.0,0.0
222.0,47,211.09865,22.095598,0,0,0,0,0.0023763808,3.8723404,0.0,0.0,0.0
223.0,4,180.15895,58.556015,0,0,0,0,0.0073318486,4.0,0.0,0.0,0.0
224.0,2,143.02133,62.30636,0,0,0,0,0.012430284,4.0,0.0,0.0,0.0
225.0,22,207.52875,28.08234,0,0,0,0,0.0042077526,3.8181818,0.0,0.0,0.0
226.0,17,201.32161,30.264248,0,0,0,0,0.0040034964,4.0,0.0,0.0,0.0
227.0,23,209.83208,26.42448,0,0,0,0,0.003640127,3.9565217,0.0,0.0,0.0
228.0,2,180.46732,2.1557176,0,0,0,0,0.013983067,4.0,0.0,0.0,0.0
229.0,35,212.07959,23.887798,0,0,0,0,0.0031606168,3.9142857,0.0,0.0,0.0
230.0,8,192.51038,40.693146,0,0,0,0,0.007442982,4.0,0.0,0.0,0.0
231.0,4,174.93207,51.234135,0,0,0,0,0.0045516407,4.0,0.0,0.0,0.0
232.0,22,203.10326,25.932966,0,0,0,0,0.0058639664,3.909091,0.0,0.0,0.0
233.0,48,214.4435,21.670113,0,0,0,0,0.0043786126,3.9791667,0.0,0.0,0.0
234.0,1,201.71269,0.0,0,0,0,0,0.0016333153,4.0,0.0,0.0,0.0
235.0,8,187.97221,37.496162,0,0,0,0,0.008406848,4.0,0.0,0.0,0.0
236.0,13,198.09067,32.4784,0,0,0,0,0.0068870517,4.0,0.0,0.0,0.0
237.0,32,212.9693,24.078817,0,0,0,0,0.0048938673,4.0,0.0,0.0,0.0
238.0,7,190.36021,43.67278,0,0,0,0,0.008025189,4.0,0.0,0.0,0.0
239.0,30,210.59227,23.579437,0,0,0,0,0.0041868254,4.0,0.0,0.0,0.0
240.0,4,169.53792,45.48856,0,0,0,0,0.005617621,4.0,0.0,0.0,0.0
241.0,10,207.85234,14.906357,0,0,0,0,0.0042168247,4.0,0.0,0.0,0.0
242.0,29,210.0596,25.63646,0,0,0,0,0.0047232504,4.0,0.0,0.0,0.0
243.0,31,212.47217,22.799814,0,0,0,0,0.0042025745,4.0,0.0,0.0,0.0
244.0,5,178.93698,43.22472,0,0,0,0,0.0084357215,4.0,0.0,0.0,0.0
245.0,11,204.71904,36.081657,0,0,0,0,0.0045600114,4.0,0.0,0.0,0.0
246.0,24,207.37262,24.95732,0,1,0,0,0.005003367,3.8333333,0.0,4.166666666666666,0.0
247.0,23,211.94608,26.790293,0,0,0,0,0.004890448,4.0,0.0,0.0,0.0
248.0,22,210.26752,16.169466,0,0,0,0,0.005929561,3.8636363,0.0,0.0,0.0
249.0,7,204.75865,41.810017,0,0,0,0,0.004986526,4.0,0.0,0.0,0.0
250.0,14,201.16591,31.334698,0,0,0,0,0.0052932245,4.0,0.0,0.0,0.0
251.0,24,211.03069,24.944563,0,0,0,0,0.0061385985,4.0,0.0,0.0,0.0
252.0,27,209.8799,26.346354,0,0,0,0,0.0052842046,3.925926,0.0,0.0,0.0
253.0,2,205.13141,3.9915562,0,0,0,0,0.008168852,4.0,0.0,0.0,0.0
254.0,27,210.62122,24.305367,0,0,0,0,0.005110831,3.925926,0.0,0.0,0.0
255.0,13,203.39352,32.06453,0,0,0,0,0.006159521,4.0,0.0,0.0,0.0
256.0,28,209.47307,24.25192,0,0,0,0,0.005934428,4.0,0.0,0.0,0.0
257.0,2,207.85211,8.765951,0,0,0,0,0.009904496,4.0,0.0,0.0,0.0
258.0,34,212.17484,23.862373,0,0,0,0,0.0067496337,4.0,0.0,0.0,0.0
259.0,15,210.33325,28.923338,0,0,0,0,0.006108032,4.0,0.0,0.0,0.0
260.0,4,182.52657,44.41038,0,0,0,0,0.014582838,4.0,0.0,0.0,0.0
261.0,30,210.24184,24.147768,0,0,0,0,0.008690761,4.0,0.0,0.0,0.0
262.0,9,214.18349,11.295733,0,0,0,0,0.015337348,4.0,0.0,0.0,0.0
263.0,18,202.86311,27.180609,0,0,0,0,0.012776781,4.0,0.0,0.0,0.0
264.0,13,213.4193,32.729446,0,0,0,0,0.009478234,4.0,0.0,0.0,0.0
265.0,35,208.61548,21.865759,0,0,0,0,0.012358293,4.0,0.0,0.0,0.0
266.0,5,215.89413,13.679876,0,0,0,0,0.013590358,4.0,0.0,0.0,0.0
267.0,10,194.43625,34.6122,0,0,0,0,0.02196593,4.0,0.0,0.0,0.0
268.0,39,210.39128,21.547396,0,0,0,0,0.011124412,4.0,0.0,0.0,0.0
269.0,11,204.82954,33.78915,0,0,0,0,0.019603305,4.0,0.0,0.0,0.0
270.0,7,216.58496,18.75041,0,0,0,0,0.011217291,4.0,0.0,0.0,0.0
271.0,21,202.52065,25.317335,0,0,0,0,0.019269947,4.0,0.0,0.0,0.0
272.0,12,208.06242,32.928345,0,0,0,0,0.009814712,4.0,0.0,0.0,0.0
